# Mapa de renombrado — ECW Hardcore TV 1997 (#193-#244)
# Derivado de vehemiurgia/ecw-hardcore-tv-1997.md §1. NO editar a mano sin corregir la guia.
# fecha_emision = canonica (la que va en el nombre). fecha_taping = secundaria, solo para matchear archivos mal fechados.
numero	nombre_canonico	fecha_emision	fecha_taping	nota
193	1997 01 02 ECW Hardcore TV 193	1997-01-02		taping de dic. 1996 — [no confirmado]
194	1997 01 09 ECW Hardcore TV 194	1997-01-09	1997-01-03	Town Hall, Webster MA
195	1997 01 16 ECW Hardcore TV 195	1997-01-16	1997-01-11	ECW Arena — House Party '97
196	1997 01 23 ECW Hardcore TV 196	1997-01-23	1997-01-11	ECW Arena — House Party '97
197	1997 01 30 ECW Hardcore TV 197	1997-01-30	1997-01-18	Catholic Youth Center, Scranton PA
198	1997 02 06 ECW Hardcore TV 198	1997-02-06	1997-02-01	ECW Arena — Crossing the Line Again
199	1997 02 13 ECW Hardcore TV 199	1997-02-13	1997-02-01	ECW Arena — Crossing the Line Again
200	1997 02 20 ECW Hardcore TV 200	1997-02-20	1997-02-15	Wonderland Greyhound Park, Revere MA
201	1997 02 27 ECW Hardcore TV 201	1997-02-27		ECW Arena — 1/2 o 22/2 [no confirmado]
202	1997 03 06 ECW Hardcore TV 202	1997-03-06	1997-02-22	ECW Arena — CyberSlam '97 (noche 2)
203	1997 03 13 ECW Hardcore TV 203	1997-03-13	1997-03-01	Catholic Youth Center, Scranton PA
204	1997 03 20 ECW Hardcore TV 204	1997-03-20	1997-03-15	ECW Arena — Hostile City Showdown
205	1997 03 27 ECW Hardcore TV 205	1997-03-27	1997-03-21	IBEW Hall, Waltham MA (+ clips HCS)
206	1997 04 03 ECW Hardcore TV 206	1997-04-03	1997-03-30	Golden Dome, Monaca PA
207	1997 04 10 ECW Hardcore TV 207	1997-04-10		especial — build de Barely Legal
208	1997 04 17 ECW Hardcore TV 208	1997-04-17		especial — recap de Barely Legal (PPV del 13/4)
209	1997 04 24 ECW Hardcore TV 209	1997-04-24	1997-03-30	Golden Dome, Monaca PA
210	1997 05 01 ECW Hardcore TV 210	1997-05-01	1997-04-25	IBEW Hall, Waltham MA
211	1997 05 08 ECW Hardcore TV 211	1997-05-08	1997-05-02	Convention Hall, Asbury Park NJ
212	1997 05 15 ECW Hardcore TV 212	1997-05-15	1997-05-10	ECW Arena — ECW Chapter 2
213	1997 05 22 ECW Hardcore TV 213	1997-05-22	1997-05-17	Flickinger Center, Buffalo NY
214	1997 05 29 ECW Hardcore TV 214	1997-05-29	1997-05-24	Golden Dome, Monaca PA
215	1997 06 05 ECW Hardcore TV 215	1997-06-05	1997-04-25	IBEW Hall, Waltham MA
216	1997 06 12 ECW Hardcore TV 216	1997-06-12	1997-06-06	ECW Arena — Wrestlepalooza '97
217	1997 06 19 ECW Hardcore TV 217	1997-06-19	1997-06-06	ECW Arena — Wrestlepalooza '97
218	1997 06 26 ECW Hardcore TV 218	1997-06-26	1997-06-20	IBEW Hall, Waltham MA
219	1997 07 03 ECW Hardcore TV 219	1997-07-03	1997-06-28	ECW Arena — Orgy of Violence
220	1997 07 10 ECW Hardcore TV 220	1997-07-10	1997-06-29	Bar A, Belmar NJ (+ clips Orgy)
221	1997 07 17 ECW Hardcore TV 221	1997-07-17	1997-07-11	Convention Hall, Asbury Park NJ
222	1997 07 24 ECW Hardcore TV 222	1997-07-24	1997-07-19	ECW Arena — Heat Wave '97
223	1997 08 01 ECW Hardcore TV 223	1997-08-01	1997-07-26	Flickinger Center, Buffalo NY
224	1997 08 08 ECW Hardcore TV 224	1997-08-08	1997-08-02	Golden Dome, Monaca PA
225	1997 08 15 ECW Hardcore TV 225	1997-08-15	1997-08-09	ECW Arena — Born to Be Wired
226	1997 08 22 ECW Hardcore TV 226	1997-08-22	1997-08-09	ECW Arena — Born to Be Wired
227	1997 08 29 ECW Hardcore TV 227	1997-08-29	1997-08-21	Queens NY [recinto no confirmado]
228	1997 09 05 ECW Hardcore TV 228	1997-09-05	1997-08-21	Queens NY
229	1997 09 12 ECW Hardcore TV 229	1997-09-12	1997-09-05	IBEW Hall, Waltham MA
230	1997 09 19 ECW Hardcore TV 230	1997-09-19	1997-09-05	IBEW Hall, Waltham MA
231	1997 09 26 ECW Hardcore TV 231	1997-09-26	1997-09-20	ECW Arena — As Good As It Gets
